year,quarter,organism_name,sightings,trips,rainy_days
2014,1,Glowworm,2,16111.275599999999,187
2014,1,Gouldian finch,9,16111.275599999999,187
2014,1,Manta ray,20,16111.275599999999,187
2014,1,Orchid,1,16111.275599999999,187
2014,2,Gouldian finch,14,15895.11160000002,231
2014,2,Manta ray,14,15895.11160000002,231
2014,2,Orchid,13,15895.11160000002,231
2014,3,Gouldian finch,46,15449.056099999998,217
2014,3,Manta ray,3,15449.056099999998,217
2014,3,Orchid,494,15449.056099999998,217
2014,4,Gouldian finch,17,15574.133499999993,234
2014,4,Manta ray,1,15574.133499999993,234
2014,4,Orchid,181,15574.133499999993,234
2015,1,Gouldian finch,10,16666.620400000007,242
2015,1,Orchid,1,16666.620400000007,242
2015,2,Gouldian finch,37,15555.628700000025,185
2015,2,Manta ray,18,15555.628700000025,185
2015,2,Orchid,37,15555.628700000025,185
2015,3,Gouldian finch,67,16344.51999999999,180
2015,3,Manta ray,72,16344.51999999999,180
2015,3,Orchid,261,16344.51999999999,180
2015,4,Glowworm,1,16637.973399999984,202
2015,4,Gouldian finch,29,16637.973399999984,202
2015,4,Manta ray,16,16637.973399999984,202
2015,4,Orchid,470,16637.973399999984,202
2016,1,Gouldian finch,4,18008.68029999999,201
2016,1,Manta ray,5,18008.68029999999,201
2016,1,Orchid,2,18008.68029999999,201
2016,2,Glowworm,1,16228.566299999986,255
2016,2,Gouldian finch,71,16228.566299999986,255
2016,2,Manta ray,7,16228.566299999986,255
2016,2,Orchid,18,16228.566299999986,255
2016,3,Glowworm,1,16522.859099999983,271
2016,3,Gouldian finch,82,16522.859099999983,271
2016,3,Manta ray,2,16522.859099999983,271
2016,3,Orchid,702,16522.859099999983,271
2016,4,Gouldian finch,30,17087.3434,273
2016,4,Manta ray,3,17087.3434,273
2016,4,Orchid,222,17087.3434,273
2017,1,Gouldian finch,23,17986.37080000002,283
2017,1,Manta ray,102,17986.37080000002,283
2017,1,Orchid,2,17986.37080000002,283
2017,2,Glowworm,3,17278.573300000025,217
2017,2,Gouldian finch,68,17278.573300000025,217
2017,2,Manta ray,200,17278.573300000025,217
2017,2,Orchid,42,17278.573300000025,217
2017,3,Glowworm,1,19171.298400000003,320
2017,3,Gouldian finch,101,19171.298400000003,320
2017,3,Manta ray,295,19171.298400000003,320
2017,3,Orchid,749,19171.298400000003,320
2017,4,Glowworm,1,18595.899000000005,234
2017,4,Gouldian finch,39,18595.899000000005,234
2017,4,Manta ray,1,18595.899000000005,234
2017,4,Orchid,297,18595.899000000005,234
2018,1,Glowworm,2,18803.086599999995,207
2018,1,Gouldian finch,35,18803.086599999995,207
2018,1,Manta ray,1,18803.086599999995,207
2018,1,Orchid,3,18803.086599999995,207
2018,2,Glowworm,1,19213.655200000067,212
2018,2,Gouldian finch,143,19213.655200000067,212
2018,2,Orchid,59,19213.655200000067,212
2018,3,Gouldian finch,184,20372.747699999967,284
2018,3,Manta ray,11,20372.747699999967,284
2018,3,Orchid,1111,20372.747699999967,284
2018,4,Glowworm,5,19891.034200000024,208
2018,4,Gouldian finch,44,19891.034200000024,208
